1 epoch, LR 0.000100, LOSS 463.983325, ACC 89.93%
2 epoch, LR 0.000095, LOSS 349.106300, ACC 92.82%
3 epoch, LR 0.000090, LOSS 328.390848, ACC 93.32%
4 epoch, LR 0.000086, LOSS 312.622485, ACC 93.78%
5 epoch, LR 0.000081, LOSS 301.006648, ACC 93.96%
6 epoch, LR 0.000077, LOSS 289.154360, ACC 94.17%
7 epoch, LR 0.000074, LOSS 275.249591, ACC 94.36%
8 epoch, LR 0.000070, LOSS 269.480853, ACC 94.68%
9 epoch, LR 0.000066, LOSS 258.656536, ACC 94.83%
10 epoch, LR 0.000063, LOSS 255.840740, ACC 94.95%
11 epoch, LR 0.000060, LOSS 254.316209, ACC 94.90%
12 epoch, LR 0.000057, LOSS 248.084982, ACC 95.11%
13 epoch, LR 0.000054, LOSS 244.480276, ACC 95.09%
14 epoch, LR 0.000051, LOSS 238.630222, ACC 95.31%
15 epoch, LR 0.000049, LOSS 227.761703, ACC 95.47%
16 epoch, LR 0.000046, LOSS 233.849462, ACC 95.48%
17 epoch, LR 0.000044, LOSS 228.885702, ACC 95.58%
18 epoch, LR 0.000042, LOSS 225.372601, ACC 95.54%
19 epoch, LR 0.000040, LOSS 223.764841, ACC 95.56%
20 epoch, LR 0.000038, LOSS 222.669165, ACC 95.62%
21 epoch, LR 0.000036, LOSS 216.717166, ACC 95.82%
22 epoch, LR 0.000034, LOSS 217.291818, ACC 95.77%
23 epoch, LR 0.000032, LOSS 213.158712, ACC 95.79%
24 epoch, LR 0.000031, LOSS 220.112448, ACC 95.67%
25 epoch, LR 0.000029, LOSS 207.700981, ACC 95.95%
26 epoch, LR 0.000028, LOSS 208.494793, ACC 95.95%
27 epoch, LR 0.000026, LOSS 201.915871, ACC 96.06%
28 epoch, LR 0.000025, LOSS 205.464685, ACC 96.05%
29 epoch, LR 0.000024, LOSS 201.134865, ACC 96.04%
30 epoch, LR 0.000023, LOSS 197.702446, ACC 96.20%
31 epoch, LR 0.000021, LOSS 197.485922, ACC 96.08%
